"Date","Match","Result","Score","Competition"
"19 Oct 1946","Wales v Scotland","W","3-1","British Championships"
"12 Nov 1947","Scotland v Wales","W","1-2","British Championships"
"23 Oct 1948","Wales v Scotland","L","1-3","British Championships"
"09 Nov 1949","Scotland v Wales","L","2-0","FIFA World Cup"
"21 Oct 1950","Wales v Scotland","L","1-3","British Championships"
"14 Nov 1951","Scotland v Wales","W","0-1","British Championships"
"18 Oct 1952","Wales v Scotland","L","1-2","British Championships"
"04 Nov 1953","Scotland v Wales","D","3-3","FIFA World Cup"
"16 Oct 1954","Wales v Scotland","L","0-1","British Championships"
"09 Nov 1955","Scotland v Wales","L","2-0","British Championships"
"20 Oct 1956","Wales v Scotland","D","2-2","British Championships"
"13 Nov 1957","Scotland v Wales","D","1-1","British Championships"
"18 Oct 1958","Wales v Scotland","L","0-3","British Championships"
"04 Nov 1959","Scotland v Wales","D","1-1","British Championships"
"22 Oct 1960","Wales v Scotland","W","2-0","British Championships"
"08 Nov 1961","Scotland v Wales","L","2-0","British Championships"
"20 Oct 1962","Wales v Scotland","L","2-3","British Championships"
"20 Nov 1963","Scotland v Wales","L","2-1","British Championships"
"03 Oct 1964","Wales v Scotland","W","3-2","British Championships"
"24 Nov 1965","Scotland v Wales","L","4-1","British Championships"
"22 Oct 1966","Wales v Scotland","D","1-1","UEFA European Championship"
"22 Nov 1967","Scotland v Wales","L","3-2","UEFA European Championship"
"03 May 1969","Wales v Scotland","L","3-5","British Championships"
"22 Apr 1970","Scotland v Wales","D","0-0","British Championships"
"15 May 1971","Wales v Scotland","D","0-0","British Championships"
"24 May 1972","Scotland v Wales","L","1-0","British Championships"
"12 May 1973","Wales v Scotland","L","0-2","British Championships"
"14 May 1974","Scotland v Wales","L","2-0","British Championships"
"17 May 1975","Wales v Scotland","D","2-2","British Championships"
"06 May 1976","Scotland v Wales","L","3-1","British Championships"
"17 Nov 1976","Scotland v Wales","L","1-0","FIFA World Cup"
"28 May 1977","Wales v Scotland","D","0-0","British Championships"
"12 Oct 1977","Wales v Scotland","L","0-2","FIFA World Cup"
"17 May 1978","Scotland v Wales","D","1-1","British Championships"
"19 May 1979","Wales v Scotland","W","3-0","British Championships"
"21 May 1980","Scotland v Wales","L","1-0","British Championships"
"16 May 1981","Wales v Scotland","W","2-0","British Championships"
"24 May 1982","Scotland v Wales","L","1-0","British Championships"
"28 May 1983","Wales v Scotland","L","0-2","British Championships"
"28 Feb 1984","Scotland v Wales","L","2-1","British Championships"
"27 Mar 1985","Scotland v Wales","W","0-1","FIFA World Cup"
"10 Sep 1985","Wales v Scotland","D","1-1","FIFA World Cup"
"27 May 1997","Scotland v Wales","W","0-1","International Friendly"
"18 Feb 2004","Wales v Scotland","W","4-0","International Friendly"
"14 Nov 2009","Wales v Scotland","W","3-0","International Friendly"
"25 May 2011","Wales v Scotland","L","1-3","Nations Cup"
"12 Oct 2012","Wales v Scotland","W","2-1","FIFA World Cup"
"22 Mar 2013","Scotland v Wales","W","1-2","FIFA World Cup"
"11 Sep 2012","Serbia v Wales","L","6-1","FIFA World Cup"
"10 Sep 2013","Wales v Serbia","L","0-3","FIFA World Cup"
"07 Oct 2006","Wales v Slovakia","L","1-5","UEFA European Championship"
"12 Sep 2007","Slovakia v Wales","W","2-5","UEFA European Championship"
"11 Jun 2016","Wales v Slovakia","W","2-1","UEFA European Championship"
"19 Apr 1961","Wales v Spain","L","1-2","FIFA World Cup"
"18 May 1961","Spain v Wales","D","1-1","FIFA World Cup"
"24 Mar 1982","Spain v Wales","D","1-1","International Friendly"
"17 Oct 1984","Spain v Wales","L","3-0","FIFA World Cup"
"30 Apr 1985","Wales v Spain","W","3-0","FIFA World Cup"
"15 Jun 1958","Sweden v Wales","D","0-0","FIFA World Cup"
"27 Apr 1988","Sweden v Wales","L","4-1","International Friendly"
"26 Apr 1989","Wales v Sweden","L","0-2","International Friendly"
"25 Apr 1990","Sweden v Wales","L","4-2","International Friendly"
"20 Apr 1994","Wales v Sweden","L","0-2","International Friendly"
"03 Mar 2010","Wales v Sweden","L","0-1","International Friendly"
"05 Jun 2016","Sweden v Wales","L","3-0","International Friendly"
"26 May 1949","Switzerland v Wales","L","4-0","International Friendly"
"16 May 1951","Wales v Switzerland","W","3-2","International Friendly"
"24 Apr 1996","Switzerland v Wales","L","2-0","International Friendly"
"31 Mar 1999","Switzerland v Wales","L","2-0","UEFA European Championship"
"09 Oct 1999","Wales v Switzerland","L","0-2","UEFA European Championship"
"12 Oct 2010","Switzerland v Wales","L","4-1","UEFA European Championship"
"07 Oct 2011","Wales v Switzerland","W","2-0","UEFA European Championship"
"27 May 2006","Wales v Trinidad and Tobago","W","2-1","International Friendly"
"06 Jun 1998","Tunisia v Wales","L","4-0","International Friendly"
"29 Nov 1978","Wales v Turkey","W","1-0","UEFA European Championship"
"21 Nov 1979","Turkey v Wales","L","1-0","UEFA European Championship"
"15 Oct 1980","Wales v Turkey","W","4-0","FIFA World Cup"
"25 Mar 1981","Turkey v Wales","W","0-1","FIFA World Cup"
"14 Dec 1996","Wales v Turkey","D","0-0","FIFA World Cup"
"20 Aug 1997","Turkey v Wales","L","6-4","FIFA World Cup"
"28 Mar 2001","Wales v Ukraine","D","1-1","FIFA World Cup"
"06 Jun 2001","Ukraine v Wales","D","1-1","FIFA World Cup"
"28 Mar 2016","Ukraine v Wales","L","1-0","International Friendly"
"21 Apr 1986","Wales v Uruguay","D","0-0","International Friendly"
"26 May 2003","USA v Wales","L","2-0","International Friendly"
"30 May 1965","USSR v Wales","L","2-1","FIFA World Cup"
"27 Oct 1965","Wales v USSR","W","2-1","FIFA World Cup"
"30 May 1981","Wales v USSR","D","0-0","FIFA World Cup"
"18 Nov 1981","USSR v Wales","L","3-0","FIFA World Cup"
"18 Feb 1987","Wales v USSR","D","0-0","International Friendly"
"21 May 1953","Yugoslavia v Wales","L","5-2","International Friendly"
"22 Sep 1954","Wales v Yugoslavia","L","1-3","International Friendly"
"24 Apr 1976","Yugoslavia v Wales","L","2-0","UEFA European Championship"
"22 May 1976","Wales v Yugoslavia","D","1-1","UEFA European Championship"
"15 Dec 1982","Yugoslavia v Wales","D","4-4","UEFA European Championship"
"14 Dec 1983","Wales v Yugoslavia","D","1-1","UEFA European Championship"
"23 Mar 1988","Wales v Yugoslavia","L","1-2","International Friendly"
"24 Feb 1976","Algeria v Yugoslavia","W","1-2","International Friendly"
"03 Aug 1930","Argentina v Yugoslavia","L","3-1","International Friendly"
"22 Dec 1968","Argentina v Yugoslavia","D","1-1","International Friendly"
"09 Jul 1972","Yugoslavia v Argentina","W","4-2","Independence"
"03 Jul 1977","Argentina v Yugoslavia","L","1-0","International Friendly"
"16 Sep 1979","Yugoslavia v Argentina","W","4-2","International Friendly"
"30 Jun 1990","Argentina v Yugoslavia","L","0-0","FIFA World Cup"
"27 Dec 1994","Argentina v Yugoslavia","L","1-0","International Friendly"
"28 Dec 1996","Argentina v Yugoslavia","W","2-3","International Friendly"
"24 Feb 1998","Argentina v Yugoslavia","L","3-1","International Friendly"
"10 Feb 1924","Yugoslavia v Austria","L","1-4","International Friendly"
"13 Nov 1949","Yugoslavia v Austria","L","2-5","International Friendly"
"08 Oct 1950","Austria v Yugoslavia","L","7-2","International Friendly"
"21 Sep 1952","Yugoslavia v Austria","W","4-2","International Friendly"
"03 Oct 1954","Austria v Yugoslavia","D","2-2","International Friendly"
"30 Oct 1955","Austria v Yugoslavia","L","2-1","Dr Gero Cup"
"17 Jun 1956","Yugoslavia v Austria","D","1-1","Dr Gero Cup"
"15 Sep 1957","Yugoslavia v Austria","D","3-3","International Friendly"
"14 Sep 1958","Austria v Yugoslavia","W","3-4","International Friendly"
"19 Nov 1961","Yugoslavia v Austria","W","2-1","International Friendly"
"27 Sep 1964","Austria v Yugoslavia","L","3-2","International Friendly"
"08 Apr 1970","Yugoslavia v Austria","D","1-1","International Friendly"
"10 Sep 1970","Austria v Yugoslavia","W","0-1","International Friendly"
"16 Oct 1985","Austria v Yugoslavia","W","0-3","International Friendly"
"25 Mar 1987","Yugoslavia v Austria","W","4-0","International Friendly"
"31 Oct 1990","Yugoslavia v Austria","W","4-1","UEFA European Championship"
"13 Nov 1991","Austria v Yugoslavia","W","0-2","UEFA European Championship"
"06 Jun 1937","Yugoslavia v Belgium","D","1-1","International Friendly"
"29 May 1938","Belgium v Yugoslavia","D","2-2","International Friendly"
"14 May 1953","Belgium v Yugoslavia","W","1-3","International Friendly"
"09 May 1954","Yugoslavia v Belgium","L","0-2","International Friendly"
"04 Nov 1962","Yugoslavia v Belgium","W","3-2","UEFA European Championship"
"31 Mar 1963","Belgium v Yugoslavia","W","0-1","UEFA European Championship"
"16 Oct 1968","Belgium v Yugoslavia","L","3-0","FIFA World Cup"
"19 Oct 1969","Yugoslavia v Belgium","W","4-0","FIFA World Cup"
"13 Jun 1984","Belgium v Yugoslavia","L","2-0","UEFA European Championship"
"19 May 1986","Belgium v Yugoslavia","W","1-3","International Friendly"
"27 May 1989","Belgium v Yugoslavia","L","1-0","International Friendly"
"17 Jul 1930","Yugoslavia v Bolivia","W","4-0","FIFA World Cup"
"18 Jun 1972","Yugoslavia v Bolivia","D","1-1","Independence"
"14 Jan 2001","Bosnia and Herzegovina v Yugoslavia","D","1-1","Sahara Cup"
"25 Jan 2001","Bosnia and Herzegovina v Yugoslavia","W","0-2","Sahara Cup"
"14 Jul 1930","Brazil v Yugoslavia","W","1-2","FIFA World Cup"
"10 Aug 1930","Brazil v Yugoslavia","L","4-1","Alvaro Chaves Unofficial Friendly"
"03 Jun 1934","Yugoslavia v Brazil","W","8-4","International Friendly"
"01 Jul 1950","Brazil v Yugoslavia","L","2-0","FIFA World Cup"
"19 Jun 1954","Brazil v Yugoslavia","D","1-1","FIFA World Cup"
"25 Jun 1968","Yugoslavia v Brazil","L","0-2","International Friendly"
"17 Dec 1968","Brazil v Yugoslavia","D","3-3","International Friendly"
"18 Jul 1971","Brazil v Yugoslavia","D","2-2","International Friendly"
"02 Jul 1972","Brazil v Yugoslavia","L","3-0","Independence"
"13 Jun 1974","Brazil v Yugoslavia","D","0-0","FIFA World Cup"
"26 Jun 1977","Brazil v Yugoslavia","D","0-0","International Friendly"
"30 Apr 1986","Brazil v Yugoslavia","L","4-2","International Friendly"
"14 Nov 1989","Brazil v Yugoslavia","D","0-0","International Friendly"
"30 Oct 1991","Brazil v Yugoslavia","L","3-1","International Friendly"
"23 Dec 1994","Brazil v Yugoslavia","L","2-0","International Friendly"
"23 Sep 1998","Brazil v Yugoslavia","D","1-1","International Friendly"
"27 Mar 2002","Brazil v Yugoslavia","L","1-0","International Friendly"
"30 May 1926","Yugoslavia v Bulgaria","W","3-1","International Friendly"
"15 May 1927","Bulgaria v Yugoslavia","W","0-2","International Friendly"
"13 Apr 1930","Yugoslavia v Bulgaria","W","6-1","International Friendly"
"15 Jun 1930","Bulgaria v Yugoslavia","D","2-2","International Friendly"
"16 Nov 1930","Bulgaria v Yugoslavia","W","0-3","Balkan Cup"
"19 Apr 1931","Yugoslavia v Bulgaria","W","1-0","Balkan Cup"
"04 Oct 1931","Bulgaria v Yugoslavia","L","3-2","Balkan Cup"
"30 Jun 1932","Yugoslavia v Bulgaria","L","2-3","Balkan Cup"
"07 Jun 1933","Yugoslavia v Bulgaria","W","4-0","Balkan Cup"
"18 Mar 1934","Bulgaria v Yugoslavia","W","1-2","International Friendly"
"01 Apr 1934","Yugoslavia v Bulgaria","L","2-3","International Friendly"
"25 Dec 1934","Bulgaria v Yugoslavia","W","3-4","Balkan Cup"
"24 Jun 1935","Bulgaria v Yugoslavia","D","3-3","Balkan Cup"
"13 Oct 1946","Bulgaria v Yugoslavia","W","1-2","Balkan Cup"
"12 Oct 1947","Yugoslavia v Bulgaria","W","2-1","Balkan Cup"
"04 Jul 1948","Bulgaria v Yugoslavia","W","1-3","Balkan Cup"
"31 May 1959","Yugoslavia v Bulgaria","W","2-0","UEFA European Championship"
"25 Oct 1959","Bulgaria v Yugoslavia","D","1-1","UEFA European Championship"
"01 Jun 1966","Yugoslavia v Bulgaria","L","0-2","International Friendly"
"06 Nov 1966","Bulgaria v Yugoslavia","L","6-1","International Friendly"
"29 Jun 1975","Yugoslavia v Bulgaria","L","2-2","Balkan Cup"
"25 Mar 1981","Yugoslavia v Bulgaria","W","2-1","International Friendly"
"17 Nov 1982","Bulgaria v Yugoslavia","W","0-1","UEFA European Championship"
"21 Dec 1983","Yugoslavia v Bulgaria","W","3-2","UEFA European Championship"
"29 Sep 1984","Yugoslavia v Bulgaria","D","0-0","FIFA World Cup"
"03 Jun 1985","Bulgaria v Yugoslavia","L","2-1","FIFA World Cup"
"29 Jan 1985","China PR v Yugoslavia","D","1-1","Nehru Cup"
"28 Mar 2000","Yugoslavia v China PR","W","1-0","International Friendly"
"25 May 2000","China PR v Yugoslavia","W","0-2","International Friendly"
"07 Jun 1962","Colombia v Yugoslavia","W","0-5","FIFA World Cup"
"30 Jan 1977","Colombia v Yugoslavia","W","0-1","International Friendly"
"14 Jun 1990","Yugoslavia v Colombia","W","1-0","FIFA World Cup"
"25 Mar 1998","Colombia v Yugoslavia","D","0-0","International Friendly"
"28 Oct 1921","Czechoslovakia v Yugoslavia","L","6-1","International Friendly"
"28 Jun 1922","Yugoslavia v Czechoslovakia","W","4-3","International Friendly"
"28 Oct 1923","Czechoslovakia v Yugoslavia","D","4-4","International Friendly"
"28 Sep 1924","Yugoslavia v Czechoslovakia","L","0-2","International Friendly"
"28 Oct 1925","Czechoslovakia v Yugoslavia","L","7-0","International Friendly"
"28 Jun 1926","Yugoslavia v Czechoslovakia","L","2-6","International Friendly"
"31 Jul 1927","Yugoslavia v Czechoslovakia","D","1-1","International Friendly"
"28 Oct 1927","Czechoslovakia v Yugoslavia","L","5-3","International Friendly"
"27 Oct 1928","Czechoslovakia v Yugoslavia","W","1-2","Amateur v A"
"28 Oct 1928","Czechoslovakia v Yugoslavia","L","7-1","International Friendly"
"28 Jun 1929","Yugoslavia v Czechoslovakia","D","3-3","International Friendly"
"28 Oct 1929","Czechoslovakia v Yugoslavia","L","4-3","International Friendly"
"02 Aug 1931","Yugoslavia v Czechoslovakia","W","2-1","International Friendly"
"09 Oct 1932","Czechoslovakia v Yugoslavia","L","2-1","International Friendly"
"06 Aug 1933","Yugoslavia v Czechoslovakia","W","2-1","International Friendly"
"02 Sep 1934","Czechoslovakia v Yugoslavia","L","3-1","International Friendly"
"06 Sep 1935","Yugoslavia v Czechoslovakia","D","0-0","International Friendly"
"03 Oct 1937","Czechoslovakia v Yugoslavia","L","5-4","International Friendly"
"28 Aug 1938","Yugoslavia v Czechoslovakia","L","1-3","International Friendly"
"09 May 1946","Czechoslovakia v Yugoslavia","W","0-2","International Friendly"
"29 Sep 1946","Yugoslavia v Czechoslovakia","W","4-2","International Friendly"
"11 May 1947","Czechoslovakia v Yugoslavia","L","3-1","International Friendly"
"30 Sep 1956","Yugoslavia v Czechoslovakia","L","1-2","Dr Gero Cup"
"18 May 1957","Czechoslovakia v Yugoslavia","L","1-0","Dr Gero Cup"
"13 Jun 1962","Czechoslovakia v Yugoslavia","L","3-1","FIFA World Cup"
"03 Nov 1963","Yugoslavia v Czechoslovakia","W","2-0","International Friendly"
"17 May 1964","Czechoslovakia v Yugoslavia","W","2-3","International Friendly"
"19 Oct 1966","Yugoslavia v Czechoslovakia","W","1-0","International Friendly"
"27 Apr 1968","Czechoslovakia v Yugoslavia","L","3-0","International Friendly"
"06 Jul 1972","Yugoslavia v Czechoslovakia","W","2-1","Independence"
"08 Aug 1991","Czechoslovakia v Yugoslavia","L","0-0","International Friendly"
"28 May 1950","Yugoslavia v Denmark","W","5-1","International Friendly"
"10 Sep 1950","Denmark v Yugoslavia","W","1-4","International Friendly"
"27 Sep 1980","Yugoslavia v Denmark","W","2-1","FIFA World Cup"
"09 Sep 1981","Denmark v Yugoslavia","W","1-2","FIFA World Cup"
"16 Jun 1984","Denmark v Yugoslavia","L","5-0","UEFA European Championship"
"14 Nov 1990","Denmark v Yugoslavia","W","0-2","UEFA European Championship"
"01 May 1991","Yugoslavia v Denmark","L","1-2","UEFA European Championship"
"08 May 2002","Ecuador v Yugoslavia","L","1-0","International Friendly"
"02 Nov 1952","Yugoslavia v Egypt","W","5-0","International Friendly"
"16 Jan 1953","Egypt v Yugoslavia","W","1-3","International Friendly"
"08 Jan 1960","Egypt v Yugoslavia","W","0-1","International Friendly"
"10 Oct 1971","Yugoslavia v Egypt","D","1-1","Mediterranean Games"
"14 Jun 1997","Yugoslavia v Egypt","D","0-0","South Korea Tournament"
"12 Nov 1995","El Salvador v Yugoslavia","W","1-4","International Friendly"
"18 May 1939","Yugoslavia v England","W","2-1","International Friendly"
"22 Nov 1950","England v Yugoslavia","D","2-2","International Friendly"
"16 May 1954","Yugoslavia v England","W","1-0","International Friendly"
"28 Nov 1956","England v Yugoslavia","L","3-0","International Friendly"
"11 May 1958","Yugoslavia v England","W","5-0","International Friendly"
"11 May 1960","England v Yugoslavia","D","3-3","International Friendly"
"09 May 1965","Yugoslavia v England","D","1-1","International Friendly"
"04 May 1966","England v Yugoslavia","L","2-0","International Friendly"
"05 Jun 1968","England v Yugoslavia","W","0-1","UEFA European Championship"
"11 Oct 1972","England v Yugoslavia","D","1-1","International Friendly"
"05 Jun 1974","Yugoslavia v England","D","2-2","International Friendly"
"12 Nov 1986","England v Yugoslavia","L","2-0","UEFA European Championship"
"11 Nov 1987","Yugoslavia v England","L","1-4","UEFA European Championship"
"13 Dec 1989","England v Yugoslavia","L","2-1","International Friendly"
"07 Sep 1950","Finland v Yugoslavia","L","3-2","International Friendly"
"25 Sep 1968","Yugoslavia v Finland","W","9-1","FIFA World Cup"
"04 Jun 1969","Finland v Yugoslavia","W","1-5","FIFA World Cup"
"23 Aug 1989","Finland v Yugoslavia","D","2-2","International Friendly"
"13 Jun 1926","France v Yugoslavia","L","4-1","International Friendly"
"19 May 1929","France v Yugoslavia","W","1-3","International Friendly"
"05 Jun 1932","Yugoslavia v France","W","2-1","International Friendly"
"16 Dec 1934","France v Yugoslavia","L","3-2","International Friendly"
"13 Dec 1936","France v Yugoslavia","L","1-0","International Friendly"
"09 Oct 1949","Yugoslavia v France","D","1-1","FIFA World Cup"
"30 Oct 1949","France v Yugoslavia","D","1-1","FIFA World Cup"
"11 Dec 1949","Yugoslavia v France","W","3-2","FIFA World Cup"
"06 Feb 1951","France v Yugoslavia","L","2-1","International Friendly"
"18 Oct 1953","Yugoslavia v France","W","3-1","International Friendly"
"16 Jun 1954","Yugoslavia v France","W","1-0","FIFA World Cup"
"11 Nov 1955","France v Yugoslavia","D","1-1","International Friendly"
"11 Jun 1958","Yugoslavia v France","W","3-2","FIFA World Cup"
"06 Jul 1960","France v Yugoslavia","W","4-5","UEFA European Championship"
"18 Apr 1965","Yugoslavia v France","W","1-0","FIFA World Cup"
"09 Oct 1965","France v Yugoslavia","L","1-0","FIFA World Cup"
"06 Apr 1968","France v Yugoslavia","D","1-1","UEFA European Championship"
"24 Apr 1968","Yugoslavia v France","W","5-1","UEFA European Championship"
"23 Apr 1983","France v Yugoslavia","L","4-0","International Friendly"
"12 Nov 1983","Yugoslavia v France","D","0-0","International Friendly"
"19 Jun 1984","France v Yugoslavia","L","3-2","UEFA European Championship"
"03 Apr 1985","Yugoslavia v France","D","0-0","FIFA World Cup"
"16 Nov 1985","France v Yugoslavia","L","2-0","FIFA World Cup"
"19 Nov 1988","Yugoslavia v France","W","3-2","FIFA World Cup"
"29 Apr 1989","France v Yugoslavia","D","0-0","FIFA World Cup"
"26 Feb 1939","Germany v Yugoslavia","L","3-2","International Friendly"
"15 Oct 1939","Yugoslavia v Germany","L","1-5","International Friendly"
"14 Apr 1940","Germany v Yugoslavia","W","1-2","International Friendly"
"03 Nov 1940","Yugoslavia v Germany","W","2-0","International Friendly"
"21 Dec 1952","West Germany v Yugoslavia","L","3-2","International Friendly"
"27 Jun 1954","West Germany v Yugoslavia","L","2-0","FIFA World Cup"
"25 Sep 1955","Yugoslavia v West Germany","W","3-1","International Friendly"
"19 Jun 1958","West Germany v Yugoslavia","L","1-0","FIFA World Cup"
"20 Dec 1959","West Germany v Yugoslavia","D","1-1","International Friendly"
"10 Jun 1962","Yugoslavia v West Germany","W","1-0","FIFA World Cup"
"30 Sep 1962","Yugoslavia v West Germany","L","2-3","International Friendly"
"23 Jun 1966","West Germany v Yugoslavia","L","2-0","International Friendly"
"03 May 1967","Yugoslavia v West Germany","W","1-0","UEFA European Championship"
"07 Oct 1967","West Germany v Yugoslavia","L","3-1","UEFA European Championship"
"13 May 1970","West Germany v Yugoslavia","L","1-0","International Friendly"
"18 Nov 1970","Yugoslavia v West Germany","W","2-0","International Friendly"
"09 May 1973","West Germany v Yugoslavia","W","0-1","International Friendly"
"26 Jun 1974","Germany v Yugoslavia","L","2-0","FIFA World Cup"
"17 Jun 1976","Yugoslavia v Germany","L","2-4","UEFA European Championship"
"30 Apr 1977","Yugoslavia v West Germany","L","1-2","International Friendly"
"07 Jun 1983","West Germany v Yugoslavia","L","4-2","International Friendly"
"11 May 1986","West Germany v Yugoslavia","D","1-1","International Friendly"
"04 Jun 1988","West Germany v Yugoslavia","D","1-1","International Friendly"
"10 Jun 1990","West Germany v Yugoslavia","L","4-1","FIFA World Cup"
"21 Jun 1998","Germany v Yugoslavia","D","2-2","FIFA World Cup"
"12 Jun 1997","Ghana v Yugoslavia","W","1-3","South Korea Cup"
"26 Jan 1930","Greece v Yugoslavia","L","2-1","Balkan Cup"
"15 Mar 1931","Yugoslavia v Greece","W","4-1","Balkan Cup"
"26 Jun 1932","Yugoslavia v Greece","W","7-1","Balkan Cup"
"03 Jun 1933","Greece v Yugoslavia","W","3-5","Balkan Cup"
"23 Dec 1934","Greece v Yugoslavia","L","2-1","Balkan Cup"
"20 Jun 1935","Greece v Yugoslavia","W","1-6","Balkan Cup"
"09 May 1953","Yugoslavia v Greece","W","1-0","FIFA World Cup"
"28 Mar 1954","Greece v Yugoslavia","W","0-1","FIFA World Cup"
"05 May 1957","Greece v Yugoslavia","D","0-0","FIFA World Cup"
"10 Nov 1957","Yugoslavia v Greece","W","4-1","FIFA World Cup"
"08 Oct 1971","Yugoslavia v Greece","W","6-1","Mediterranean Games"
"19 Nov 1972","Yugoslavia v Greece","W","1-0","FIFA World Cup"
"19 Dec 1973","Greece v Yugoslavia","W","2-4","FIFA World Cup"
"30 Jun 1976","Yugoslavia v Greece","W","1-0","Balkan Cup"
"16 Nov 1977","Greece v Yugoslavia","D","0-0","Balkan Cup"
"15 Nov 1978","Yugoslavia v Greece","W","4-1","Balkan Cup"
"29 Apr 1981","Yugoslavia v Greece","W","5-1","FIFA World Cup"
"29 Nov 1981","Greece v Yugoslavia","W","1-2","FIFA World Cup"
"05 Apr 1989","Greece v Yugoslavia","W","1-4","International Friendly"
"20 Sep 1989","Yugoslavia v Greece","W","3-0","International Friendly"
"20 Sep 1995","Greece v Yugoslavia","W","0-2","International Friendly"
"13 Dec 2000","Greece v Yugoslavia","D","1-1","International Friendly"
"26 Jan 1977","Guatemala v Yugoslavia","W","0-2","*"
"24 Jun 1982","Honduras v Yugoslavia","W","0-1","FIFA World Cup"
"02 Dec 1961","Hong Kong v Yugoslavia","W","1-2","International Friendly"
"02 Feb 1995","Hong Kong v Yugoslavia","W","1-3","International Friendly"
"10 Feb 1997","Hong Kong v Yugoslavia","W","1-3","Carlsberg Cup"
"10 Apr 1927","Hungary v Yugoslavia","L","3-0","International Friendly"
"21 May 1931","Yugoslavia v Hungary","W","3-2","International Friendly"
"09 May 1937","Hungary v Yugoslavia","D","1-1","International Friendly"
"12 Nov 1939","Yugoslavia v Hungary","L","0-2","International Friendly"
"29 Sep 1940","Hungary v Yugoslavia","D","0-0","International Friendly"
"23 Mar 1941","Yugoslavia v Hungary","D","1-1","International Friendly"
"29 Jun 1947","Yugoslavia v Hungary","L","2-3","Balkan Cup"
"29 Apr 1956","Hungary v Yugoslavia","D","2-2","Dr Gero Cup"
"16 Sep 1956","Yugoslavia v Hungary","L","1-3","Dr Gero Cup"
"20 Apr 1958","Hungary v Yugoslavia","L","2-0","International Friendly"
"05 Oct 1958","Yugoslavia v Hungary","D","4-4","International Friendly"
"19 Apr 1959","Hungary v Yugoslavia","L","4-0","International Friendly"
"11 Oct 1959","Yugoslavia v Hungary","L","2-4","International Friendly"
"09 Oct 1960","Hungary v Yugoslavia","D","1-1","International Friendly"
"07 May 1961","Yugoslavia v Hungary","L","2-4","International Friendly"
"14 Oct 1962","Hungary v Yugoslavia","W","0-1","International Friendly"
"06 Oct 1963","Yugoslavia v Hungary","W","2-0","International Friendly"
"25 Oct 1964","Hungary v Yugoslavia","L","2-1","International Friendly"
"08 May 1966","Yugoslavia v Hungary","W","2-0","International Friendly"
"23 Apr 1967","Hungary v Yugoslavia","L","1-0","International Friendly"
"12 Apr 1970","Yugoslavia v Hungary","D","2-2","International Friendly"
"01 Sep 1971","Hungary v Yugoslavia","L","2-1","International Friendly"
"26 Sep 1973","Yugoslavia v Hungary","D","1-1","International Friendly"
"29 May 1974","Hungary v Yugoslavia","L","3-2","International Friendly"
"17 Apr 1976","Yugoslavia v Hungary","D","0-0","International Friendly"
"05 Oct 1977","Hungary v Yugoslavia","L","4-3","International Friendly"
"31 Mar 1984","Yugoslavia v Hungary","W","2-1","International Friendly"
"29 Oct 1997","Hungary v Yugoslavia","W","1-7","FIFA World Cup"
"15 Nov 1997","Yugoslavia v Hungary","W","5-0","FIFA World Cup"
"05 Apr 1978","Iran v Yugoslavia","D","0-0","International Friendly"
"20 Jan 1985","Iran v Yugoslavia","W","1-3","Nehru Cup"
"14 Jun 1998","Yugoslavia v Iran","W","1-0","FIFA World Cup"
"21 Aug 1949","Yugoslavia v Israel","W","6-0","FIFA World Cup"
"18 Sep 1949","Israel v Yugoslavia","W","2-5","FIFA World Cup"
"08 Nov 1953","Yugoslavia v Israel","W","1-0","FIFA World Cup"
"21 Mar 1954","Israel v Yugoslavia","W","0-1","FIFA World Cup"
"14 Dec 1961","Israel v Yugoslavia","W","0-2","International Friendly"
"28 Oct 1964","Israel v Yugoslavia","L","2-0","International Friendly"
"12 Oct 1966","Israel v Yugoslavia","W","1-3","International Friendly"
"23 Dec 1998","Israel v Yugoslavia","L","2-0","International Friendly"
"04 Nov 1925","Italy v Yugoslavia","L","2-1","International Friendly"
"22 May 1938","Italy v Yugoslavia","L","4-0","International Friendly"
"04 Jun 1939","Yugoslavia v Italy","L","1-2","International Friendly"
"06 May 1951","Italy v Yugoslavia","D","0-0","International Friendly"
"29 May 1955","Italy v Yugoslavia","W","0-4","Dr Gero Cup"
"12 May 1957","Yugoslavia v Italy","W","6-1","Dr Gero Cup"
"08 Jun 1968","Italy v Yugoslavia","D","1-1","UEFA European Championship"
"10 Jun 1968","Italy v Yugoslavia","L","2-0","UEFA European Championship"
"20 Sep 1972","Italy v Yugoslavia","L","3-1","International Friendly"
"28 Sep 1974","Yugoslavia v Italy","W","1-0","International Friendly"
"25 Sep 1976","Italy v Yugoslavia","L","3-0","International Friendly"
"08 May 1978","Italy v Yugoslavia","D","0-0","International Friendly"
"13 Jun 1979","Yugoslavia v Italy","W","4-1","International Friendly"
"15 Nov 1980","Italy v Yugoslavia","L","2-0","FIFA World Cup"
"17 Oct 1981","Yugoslavia v Italy","D","1-1","FIFA World Cup"
"23 Sep 1987","Italy v Yugoslavia","L","1-0","International Friendly"
"31 Mar 1988","Yugoslavia v Italy","D","1-1","International Friendly"
"29 Nov 1961","Japan v Yugoslavia","W","0-1","International Friendly"
"26 May 1996","Japan v Yugoslavia","L","1-0","Kirin Japan Cup"
"03 Jun 1998","Yugoslavia v Japan","W","1-0","International Friendly"
