Date,Match,Result,Score,Competition
2002-01-05,Saudi Arabia v Romania,L,2-0,International Friendly
1975-06-01,Romania v Scotland,D,1-1,UEFA European Championship
1975-12-17,Scotland v Romania,D,1-1,UEFA European Championship
1941-10-14,Romania v Slovakia,W,3-2,International Friendly
1942-08-23,Slovakia v Romania,L,1-0,International Friendly
1943-06-13,Romania v Slovakia,D,2-2,International Friendly
1962-11-01,Spain v Romania,L,6-0,UEFA European Championship
1975-04-17,Spain v Romania,D,1-1,UEFA European Championship
1975-11-16,Romania v Spain,D,2-2,UEFA European Championship
1977-04-16,Romania v Spain,W,1-0,FIFA World Cup
1977-10-26,Spain v Romania,L,2-0,FIFA World Cup
1997-11-19,Spain v Romania,D,1-1,International Friendly
2016-03-27,Romania v Spain,D,0-0,International Friendly
1935-09-01,Sweden v Romania,L,7-1,International Friendly
1937-06-27,Romania v Sweden,D,2-2,International Friendly
1955-06-15,Sweden v Romania,L,4-1,International Friendly
1982-09-08,Romania v Sweden,W,2-0,UEFA European Championship
1933-10-29,Switzerland v Romania,D,2-2,FIFA World Cup
1981-10-10,Romania v Switzerland,L,1-2,FIFA World Cup
1990-04-03,Switzerland v Romania,L,2-1,International Friendly
2016-06-15,Romania v Switzerland,D,1-1,UEFA European Championship
1923-10-26,Turkey v Romania,D,2-2,International Friendly
1925-05-01,Romania v Turkey,L,1-2,International Friendly
1926-05-07,Turkey v Romania,W,1-3,International Friendly
1959-04-26,Turkey v Romania,L,2-0,UEFA European Championship
1963-10-09,Turkey v Romania,D,0-0,International Friendly
1965-10-23,Turkey v Romania,L,2-1,FIFA World Cup
1971-03-20,Romania v Turkey,D,0-0,*
1975-03-19,Turkey v Romania,D,1-1,International Friendly
1975-10-12,Romania v Turkey,D,2-2,International Friendly
1977-03-23,Romania v Turkey,W,4-0,Balkan Cup
1978-03-22,Turkey v Romania,D,1-1,Balkan Cup
1983-01-29,Turkey v Romania,D,1-1,International Friendly
1987-03-04,Turkey v Romania,W,1-3,International Friendly
2001-02-26,Ukraine v Romania,W,0-1,Cyprus International Tournament
1930-07-21,Uruguay v Romania,L,4-0,FIFA World Cup
1966-06-19,Romania v Uruguay,W,1-0,International Friendly
1967-01-04,Uruguay v Romania,D,1-1,International Friendly
1991-08-28,Romania v USA,L,0-2,International Friendly
1993-02-06,USA v Romania,D,1-1,International Friendly
1994-02-13,Romania v USA,W,2-1,Carlsberg
1957-06-01,Russia v Romania,D,1-1,International Friendly
1973-04-18,Russia v Romania,L,2-0,International Friendly
1975-11-29,Romania v Russia,D,2-2,International Friendly
1978-05-14,Romania v Russia,L,0-1,International Friendly
1979-10-14,Russia v Romania,L,3-1,International Friendly
1970-11-11,Wales v Romania,D,0-0,UEFA European Championship
1971-11-24,Romania v Wales,W,2-0,UEFA European Championship
1992-05-20,Romania v Wales,W,5-1,FIFA World Cup
1922-06-08,Yugoslavia v Romania,W,1-2,King Alex Cup
1927-05-10,Romania v Yugoslavia,L,0-3,King Alex Cup
1929-05-10,Romania v Yugoslavia,L,2-3,King Alex Cup
1932-07-03,Yugoslavia v Romania,L,3-1,Balkan Cup
1935-06-17,Romania v Yugoslavia,L,0-2,Balkan Cup
1936-05-10,Romania v Yugoslavia,W,3-2,King Carol Cup
1937-09-06,Yugoslavia v Romania,L,2-1,International Friendly
1938-09-06,Yugoslavia v Romania,D,1-1,International Friendly
1946-10-11,Romania v Yugoslavia,W,2-1,Balkan Cup
1947-06-22,Romania v Yugoslavia,L,1-3,Balkan Cup
1957-09-29,Romania v Yugoslavia,D,1-1,FIFA World Cup
1969-09-03,Yugoslavia v Romania,D,1-1,International Friendly
1970-05-06,Romania v Yugoslavia,D,0-0,International Friendly
1971-04-21,Yugoslavia v Romania,W,0-1,International Friendly
1977-05-08,Yugoslavia v Romania,W,0-2,FIFA World Cup
1977-11-13,Romania v Yugoslavia,L,4-6,FIFA World Cup
1980-03-30,Yugoslavia v Romania,L,2-0,Balkan Cup
1977-06-18,Argentina v Scotland,D,1-1,International Friendly
1971-02-03,Belgium v Scotland,L,3-0,UEFA European Championship
1971-11-10,Scotland v Belgium,W,1-0,UEFA European Championship
1974-06-01,Belgium v Scotland,L,2-1,International Friendly
1999-10-05,Scotland v Bosnia and Herzegovina,W,1-0,UEFA European Championship
1972-07-05,Brazil v Scotland,L,1-0,Independence
1973-06-30,Scotland v Brazil,L,0-1,International Friendly
1974-06-18,Brazil v Scotland,D,0-0,FIFA World Cup
1977-06-23,Brazil v Scotland,L,2-0,International Friendly
1978-02-22,Scotland v Bulgaria,W,2-1,International Friendly
1972-07-02,Scotland v Czech Republic,D,0-0,Independence
1973-09-26,Scotland v Czech Republic,W,2-1,FIFA World Cup
1973-10-17,Czech Republic v Scotland,L,1-0,FIFA World Cup
1976-10-13,Czech Republic v Scotland,L,2-0,FIFA World Cup
1977-09-21,Scotland v Czech Republic,W,3-1,FIFA World Cup
1970-11-11,Scotland v Denmark,W,1-0,UEFA European Championship
1971-06-09,Denmark v Scotland,L,1-0,UEFA European Championship
1972-10-18,Denmark v Scotland,W,1-4,FIFA World Cup
1972-11-15,Scotland v Denmark,W,2-0,FIFA World Cup
1975-09-03,Denmark v Scotland,W,0-1,UEFA European Championship
1975-10-29,Scotland v Denmark,W,3-1,UEFA European Championship
1970-04-25,Scotland v England,D,0-0,British Championships
1971-05-22,England v Scotland,L,3-1,British Championships
1972-05-27,Scotland v England,L,0-1,British Championships
1973-02-14,Scotland v England,L,0-5,Centenary Match
1973-05-19,England v Scotland,L,1-0,British Championships
1974-05-18,Scotland v England,W,2-0,British Championships
1975-05-24,England v Scotland,L,5-1,British Championships
1976-05-15,Scotland v England,W,2-1,British Championships
1977-06-04,England v Scotland,W,1-2,British Championships
1978-05-20,Scotland v England,L,0-1,British Championships
1976-09-08,Scotland v Finland,W,6-0,International Friendly
1973-11-14,Scotland v Germany,D,1-1,International Friendly
1974-03-27,Germany v Scotland,L,2-1,International Friendly
2002-05-23,Hong Kong v Scotland,W,0-4,Reunification Cup
1978-06-07,Iran v Scotland,D,1-1,FIFA World Cup
1971-12-01,Netherlands v Scotland,L,2-1,International Friendly
1978-06-11,Netherlands v Scotland,W,2-3,FIFA World Cup
1967-06-05,New Zealand v Scotland,W,2-7,Under-23 v A
2003-05-27,Scotland v New Zealand,D,1-1,International Friendly
1954-11-03,Scotland v Northern Ireland,D,2-2,British Championships
1955-10-08,Northern Ireland v Scotland,L,2-1,British Championships
1956-11-07,Scotland v Northern Ireland,W,1-0,British Championships
1958-11-05,Scotland v Northern Ireland,D,2-2,British Championships
1960-11-09,Scotland v Northern Ireland,W,5-2,British Championships
1961-10-07,Northern Ireland v Scotland,W,1-6,British Championships
1970-04-18,Northern Ireland v Scotland,W,0-1,British Championships
1971-05-18,Scotland v Northern Ireland,L,0-1,British Championships
1972-05-20,Scotland v Northern Ireland,W,2-0,British Championships
1973-05-16,Scotland v Northern Ireland,L,1-2,British Championships
1974-05-11,Scotland v Northern Ireland,L,0-1,British Championships
1975-05-20,Scotland v Northern Ireland,W,3-0,British Championships
1976-05-08,Scotland v Northern Ireland,W,3-0,British Championships
1977-06-01,Scotland v Northern Ireland,W,3-0,British Championships
1978-05-13,Scotland v Northern Ireland,D,1-1,British Championships
1983-05-24,Scotland v Northern Ireland,D,0-0,British Championships
1983-12-13,Northern Ireland v Scotland,L,2-0,British Championships
1972-04-26,Scotland v Peru,W,2-0,International Friendly
1978-06-03,Peru v Scotland,L,3-1,FIFA World Cup
1971-04-21,Portugal v Scotland,L,2-0,UEFA European Championship
1971-10-13,Scotland v Portugal,W,2-1,UEFA European Championship
1975-05-13,Scotland v Portugal,W,1-0,International Friendly
1975-06-01,Romania v Scotland,D,1-1,UEFA European Championship
1975-12-17,Scotland v Romania,D,1-1,UEFA European Championship
2012-09-08,Scotland v Serbia,D,0-0,FIFA World Cup
2002-05-20,South Africa v Scotland,L,2-0,Reunification Cup
1963-06-13,Spain v Scotland,W,2-6,International Friendly
1965-05-08,Scotland v Spain,D,0-0,International Friendly
1974-11-20,Scotland v Spain,L,1-2,UEFA European Championship
1975-02-05,Spain v Scotland,D,1-1,UEFA European Championship
1982-02-24,Spain v Scotland,L,3-0,International Friendly
2004-09-03,Spain v Scotland,D,1-1,International Friendly
1952-05-30,Sweden v Scotland,L,3-1,International Friendly
1953-05-06,Scotland v Sweden,L,1-2,International Friendly
1975-04-16,Sweden v Scotland,D,1-1,International Friendly
1977-04-27,Scotland v Sweden,W,3-1,International Friendly
1946-05-15,Scotland v Switzerland,W,3-1,Victory
1948-05-17,Switzerland v Scotland,L,2-1,International Friendly
1950-04-26,Scotland v Switzerland,W,3-1,International Friendly
1973-06-22,Switzerland v Scotland,L,1-0,International Friendly
1976-04-07,Scotland v Switzerland,W,1-0,International Friendly
1960-06-08,Turkey v Scotland,L,4-2,International Friendly
1962-05-02,Scotland v Uruguay,L,2-3,International Friendly
1952-04-30,Scotland v USA,W,6-0,International Friendly
1971-06-14,Russia v Scotland,L,1-0,International Friendly
1876-03-25,Scotland v Wales,W,4-0,International Friendly
1877-03-05,Wales v Scotland,W,0-2,International Friendly
1878-03-23,Scotland v Wales,W,9-0,International Friendly
1879-04-07,Wales v Scotland,W,0-3,International Friendly
1880-03-27,Scotland v Wales,W,5-1,International Friendly
1881-03-14,Wales v Scotland,W,1-5,International Friendly
1882-03-25,Scotland v Wales,W,5-0,International Friendly
1883-03-12,Wales v Scotland,W,0-3,International Friendly
1884-03-29,Scotland v Wales,W,4-1,British Championships
1885-03-23,Wales v Scotland,W,1-8,British Championships
1886-04-10,Scotland v Wales,W,4-1,British Championships
1887-03-21,Wales v Scotland,W,0-2,British Championships
1888-03-10,Scotland v Wales,W,5-1,British Championships
1889-04-15,Wales v Scotland,D,0-0,British Championships
1890-03-22,Scotland v Wales,W,5-0,British Championships
1891-03-21,Wales v Scotland,W,3-4,British Championships
1892-03-26,Scotland v Wales,W,6-1,British Championships
1893-03-18,Wales v Scotland,W,0-8,British Championships
1894-03-24,Scotland v Wales,W,5-2,British Championships
1895-03-23,Wales v Scotland,D,2-2,British Championships
1896-03-21,Scotland v Wales,W,4-0,British Championships
1897-03-20,Wales v Scotland,D,2-2,British Championships
1898-03-19,Scotland v Wales,W,5-2,British Championships
1899-03-18,Wales v Scotland,W,0-6,British Championships
1900-02-03,Scotland v Wales,W,5-2,British Championships
1901-03-02,Wales v Scotland,D,1-1,British Championships
1902-03-15,Scotland v Wales,W,5-1,British Championships
1903-03-09,Wales v Scotland,W,0-1,British Championships
1904-03-12,Scotland v Wales,D,1-1,British Championships
1905-03-06,Wales v Scotland,L,3-1,British Championships
1906-03-03,Scotland v Wales,L,0-2,British Championships
1907-03-04,Wales v Scotland,L,1-0,British Championships
1908-03-07,Scotland v Wales,W,2-1,British Championships
1909-03-01,Wales v Scotland,L,3-2,British Championships
1910-03-05,Scotland v Wales,W,1-0,British Championships
1911-03-06,Wales v Scotland,D,2-2,British Championships
1912-03-02,Scotland v Wales,W,1-0,British Championships
1913-03-03,Wales v Scotland,D,0-0,British Championships
1914-02-28,Scotland v Wales,D,0-0,British Championships
1920-02-26,Wales v Scotland,D,1-1,British Championships
1921-02-12,Scotland v Wales,W,2-1,British Championships
1922-02-04,Wales v Scotland,L,2-1,British Championships
1923-03-17,Scotland v Wales,W,2-0,British Championships
1924-02-16,Wales v Scotland,L,2-0,British Championships
1925-02-14,Scotland v Wales,W,3-1,British Championships
1925-10-31,Wales v Scotland,W,0-3,British Championships
1926-10-30,Scotland v Wales,W,3-0,British Championships
1927-10-29,Wales v Scotland,D,2-2,British Championships
1928-10-27,Scotland v Wales,W,4-2,British Championships
1929-10-26,Wales v Scotland,W,2-4,British Championships
1930-10-25,Scotland v Wales,D,1-1,British Championships
1931-10-31,Wales v Scotland,W,2-3,British Championships
1932-10-26,Scotland v Wales,L,2-5,International Friendly
1933-10-04,Wales v Scotland,L,3-2,British Championships
1934-11-21,Scotland v Wales,W,3-2,British Championships
1935-10-05,Wales v Scotland,D,1-1,British Championships
1937-10-30,Wales v Scotland,L,2-1,British Championships
1938-11-09,Scotland v Wales,W,3-2,British Championships
1946-10-19,Wales v Scotland,L,3-1,British Championships
1948-10-23,Wales v Scotland,W,1-3,British Championships
1949-11-09,Scotland v Wales,W,2-0,FIFA World Cup
1950-10-21,Wales v Scotland,W,1-3,British Championships
1951-11-14,Scotland v Wales,L,0-1,British Championships
1952-10-18,Wales v Scotland,W,1-2,British Championships
1953-11-04,Scotland v Wales,D,3-3,FIFA World Cup
1955-11-09,Scotland v Wales,W,2-0,British Championships
1956-10-20,Wales v Scotland,D,2-2,British Championships
1957-11-13,Scotland v Wales,D,1-1,British Championships
1958-10-18,Wales v Scotland,W,0-3,British Championships
1959-11-04,Scotland v Wales,D,1-1,British Championships
1960-10-22,Wales v Scotland,L,2-0,British Championships
1961-11-08,Scotland v Wales,W,2-0,British Championships
1970-04-22,Scotland v Wales,D,0-0,British Championships
1971-05-15,Wales v Scotland,D,0-0,British Championships
1972-05-24,Scotland v Wales,W,1-0,British Championships
1973-05-12,Wales v Scotland,W,0-2,British Championships
1974-05-14,Scotland v Wales,W,2-0,British Championships
1975-05-17,Wales v Scotland,D,2-2,British Championships
1976-05-06,Scotland v Wales,W,3-1,British Championships
1976-11-17,Scotland v Wales,W,1-0,FIFA World Cup
1977-05-28,Wales v Scotland,D,0-0,British Championships
1977-10-12,Wales v Scotland,W,0-2,FIFA World Cup
1978-05-17,Scotland v Wales,D,1-1,British Championships
1982-05-24,Scotland v Wales,W,1-0,British Championships
1984-02-28,Scotland v Wales,W,2-1,British Championships
1985-09-10,Wales v Scotland,D,1-1,FIFA World Cup
1997-05-27,Scotland v Wales,L,0-1,International Friendly
1972-06-29,Scotland v Yugoslavia,D,2-2,Independence
1974-06-22,Scotland v Yugoslavia,D,1-1,FIFA World Cup
2001-06-21,Bosnia and Herzegovina v Slovakia,L,1-0,Merdeka Tournament
1999-11-25,Costa Rica v Slovakia,L,4-0,International Friendly
2000-04-25,Slovakia v Germany,W,4-1,A v B
2000-05-24,Slovakia v Saudi Arabia,D,1-1,International Friendly
1996-05-09,Sweden v Slovakia,L,2-1,International Friendly
2008-05-20,Turkey v Slovakia,L,1-0,International Friendly
2006-12-10,United Arab Emirates v Slovakia,W,1-2,International Friendly
1972-10-11,Spain v Argentina,W,1-0,Copa Hispanidad
1974-10-12,Argentina v Spain,D,1-1,Copa Hispanidad
1978-06-03,Austria v Spain,L,2-1,FIFA World Cup
1978-06-07,Brazil v Spain,D,0-0,FIFA World Cup
1974-09-25,Denmark v Spain,W,1-2,UEFA European Championship
1975-10-12,Spain v Denmark,W,2-0,UEFA European Championship
1971-03-17,Spain v France,D,2-2,International Friendly
1970-02-11,Spain v Germany,W,2-0,International Friendly
1973-11-24,Germany v Spain,L,2-1,International Friendly
1974-02-23,Spain v Germany,W,1-0,International Friendly
1976-04-24,Spain v Germany,D,1-1,UEFA European Championship
1976-05-22,Germany v Spain,L,2-0,UEFA European Championship
1970-10-28,Spain v Greece,W,2-1,International Friendly
1972-04-12,Greece v Spain,D,0-0,International Friendly
1973-01-17,Greece v Spain,W,2-3,FIFA World Cup
1973-02-21,Spain v Greece,W,3-1,FIFA World Cup
1972-01-12,Spain v Hungary,W,1-0,International Friendly
1977-03-27,Spain v Hungary,D,1-1,International Friendly
1970-02-21,Spain v Italy,D,2-2,International Friendly
1971-02-20,Italy v Spain,W,1-2,International Friendly
1978-01-25,Spain v Italy,W,2-1,International Friendly
2002-06-22,Korea Republic v Spain,L,0-0,FIFA World Cup
1978-04-26,Spain v Mexico,W,2-0,International Friendly
1973-05-02,Netherlands v Spain,L,3-2,International Friendly
1963-05-30,Spain v Northern Ireland,D,1-1,UEFA European Championship
1963-10-30,Northern Ireland v Spain,W,0-1,UEFA European Championship
1970-11-11,Spain v Northern Ireland,W,3-0,UEFA European Championship
1972-02-16,Northern Ireland v Spain,D,1-1,UEFA European Championship
1988-12-21,Spain v Northern Ireland,W,4-0,FIFA World Cup
1927-05-27,Spain v Portugal,W,2-0,A v B
1947-03-02,Republic of Ireland v Spain,L,3-2,International Friendly
1952-06-01,Spain v Republic of Ireland,W,6-0,International Friendly
1964-03-11,Spain v Republic of Ireland,W,5-1,UEFA European Championship
1964-04-08,Republic of Ireland v Spain,W,0-2,UEFA European Championship
1966-10-23,Republic of Ireland v Spain,D,0-0,UEFA European Championship
1977-02-09,Republic of Ireland v Spain,W,0-1,International Friendly
2002-06-16,Spain v Republic of Ireland,W,1-1,FIFA World Cup
2012-06-14,Spain v Republic of Ireland,W,4-0,UEFA European Championship
1975-04-17,Spain v Romania,D,1-1,UEFA European Championship
1975-11-16,Romania v Spain,D,2-2,UEFA European Championship
1977-04-16,Romania v Spain,L,1-0,FIFA World Cup
1977-10-26,Spain v Romania,W,2-0,FIFA World Cup
2006-06-23,Saudi Arabia v Spain,W,0-1,FIFA World Cup
1974-11-20,Scotland v Spain,W,1-2,UEFA European Championship
1975-02-05,Spain v Scotland,D,1-1,UEFA European Championship
1968-02-28,Spain v Sweden,W,3-1,International Friendly
1968-05-02,Sweden v Spain,D,1-1,International Friendly
1978-06-11,Spain v Sweden,W,1-0,FIFA World Cup
1925-06-01,Switzerland v Spain,W,0-3,International Friendly
1941-12-28,Spain v Switzerland,W,3-2,International Friendly
1951-02-18,Spain v Switzerland,W,6-3,International Friendly
1957-11-24,Switzerland v Spain,W,1-4,FIFA World Cup
1970-04-22,Switzerland v Spain,W,0-1,International Friendly
1977-09-21,Switzerland v Spain,W,1-2,International Friendly
2010-06-16,Spain v Switzerland,L,0-1,FIFA World Cup
2006-06-19,Spain v Tunisia,W,3-1,FIFA World Cup
1952-06-08,Turkey v Spain,D,0-0,International Friendly
1954-01-06,Spain v Turkey,W,4-1,FIFA World Cup
1967-03-01,Turkey v Spain,D,0-0,UEFA European Championship
1973-10-17,Turkey v Spain,D,0-0,50th Anniversary
2006-06-14,Spain v Ukraine,W,4-0,FIFA World Cup
1972-05-23,Spain v Uruguay,W,2-0,International Friendly
1978-05-24,Uruguay v Spain,D,0-0,International Friendly
1992-03-11,Spain v USA,W,2-0,International Friendly
1964-06-21,Spain v Russia,W,2-1,UEFA European Championship
1971-05-30,Russia v Spain,L,2-1,UEFA European Championship
1971-10-27,Spain v Russia,D,0-0,UEFA European Championship
1981-06-28,Venezuela v Spain,W,0-2,International Friendly
1961-05-18,Spain v Wales,D,1-1,FIFA World Cup
1972-10-19,Spain v Yugoslavia,D,2-2,FIFA World Cup
1973-10-21,Yugoslavia v Spain,D,0-0,FIFA World Cup
1974-02-13,Yugoslavia v Spain,L,1-0,FIFA World Cup
1976-10-10,Spain v Yugoslavia,W,1-0,FIFA World Cup
1977-11-30,Yugoslavia v Spain,W,0-1,FIFA World Cup
1984-06-07,Spain v Yugoslavia,L,0-1,International Friendly
1990-06-26,Spain v Yugoslavia,L,1-2,FIFA World Cup
1975-05-19,Sweden v Algeria,W,4-0,International Friendly
1976-03-08,Algeria v Sweden,W,0-2,International Friendly
1971-05-26,Sweden v Austria,W,1-0,UEFA European Championship
1971-09-04,Austria v Sweden,L,1-0,UEFA European Championship
1972-06-10,Austria v Sweden,L,2-0,FIFA World Cup
1973-05-23,Sweden v Austria,W,3-2,FIFA World Cup
1973-11-27,Austria v Sweden,W,1-2,FIFA World Cup
1976-04-28,Austria v Sweden,L,1-0,International Friendly
1978-06-07,Austria v Sweden,L,1-0,FIFA World Cup
1924-06-10,Belgium v Sweden,L,5-0,Unofficial Belgium
1973-06-25,Sweden v Brazil,W,1-0,International Friendly
1978-06-03,Brazil v Sweden,D,1-1,FIFA World Cup
1974-06-15,Bulgaria v Sweden,D,0-0,FIFA World Cup
2001-02-17,Sweden v China PR,W,3-0,Kings Cup
2008-01-13,Costa Rica v Sweden,W,0-1,International Friendly
1972-05-14,Sweden v Czech Republic,L,1-2,International Friendly
1974-10-13,Czech Republic v Sweden,L,4-0,International Friendly
1978-05-21,Sweden v Czech Republic,D,0-0,International Friendly
1970-06-25,Sweden v Denmark,D,1-1,International Friendly
1971-06-20,Denmark v Sweden,W,1-3,International Friendly
1972-06-29,Sweden v Denmark,W,2-0,International Friendly
1973-04-26,Denmark v Sweden,W,1-2,International Friendly
1974-06-03,Denmark v Sweden,W,0-2,International Friendly
1975-09-25,Sweden v Denmark,D,0-0,International Friendly
1976-05-11,Sweden v Denmark,L,1-2,International Friendly
1977-06-15,Denmark v Sweden,L,2-1,International Friendly
1977-10-05,Sweden v Denmark,W,1-0,International Friendly
1908-09-08,Sweden v England,L,1-6,A v Amateur
1909-11-06,England v Sweden,L,7-0,Amateur v A
1914-06-10,Sweden v England,L,1-5,A v Amateur
1914-06-12,Sweden v England,L,0-5,Swedish Unofficial
1970-08-26,Finland v Sweden,W,1-2,International Friendly
1971-05-20,Sweden v Finland,W,4-1,International Friendly
1973-07-08,Sweden v Finland,D,1-1,International Friendly
1973-08-29,Finland v Sweden,W,1-2,International Friendly
1976-06-01,Finland v Sweden,W,0-2,International Friendly
1976-08-11,Sweden v Finland,W,6-0,International Friendly
1978-06-28,Sweden v Finland,W,2-1,International Friendly
1971-06-27,Sweden v Germany,W,1-0,International Friendly
1974-05-01,Germany v Sweden,L,2-0,International Friendly
1974-06-30,Germany v Sweden,L,4-2,FIFA World Cup
1978-04-19,Sweden v Germany,W,3-1,International Friendly
1996-02-19,Hong Kong v Sweden,W,0-1,Carlsberg Cup
1970-05-16,Hungary v Sweden,W,1-2,International Friendly
1972-05-25,Sweden v Hungary,D,0-0,FIFA World Cup
1973-06-12,Hungary v Sweden,D,3-3,FIFA World Cup
1976-09-08,Sweden v Hungary,D,1-1,International Friendly
1977-10-12,Hungary v Sweden,L,3-0,International Friendly
1973-07-11,Sweden v Iceland,W,1-0,International Friendly
1977-07-20,Iceland v Sweden,W,0-1,International Friendly
1970-06-07,Israel v Sweden,D,1-1,FIFA World Cup
1971-03-02,Israel v Sweden,L,2-1,International Friendly
1970-06-03,Sweden v Italy,L,0-1,FIFA World Cup
1971-06-09,Sweden v Italy,D,0-0,UEFA European Championship
1971-10-09,Italy v Sweden,L,3-0,UEFA European Championship
1973-09-29,Italy v Sweden,L,2-0,International Friendly
2003-02-22,Sweden v Korea DPR,W,4-0,Kings Cup
1996-05-16,Korea Republic v Sweden,W,0-2,International Friendly
2005-01-22,Sweden v Korea Republic,D,1-1,International Friendly
1970-02-22,Mexico v Sweden,D,0-0,International Friendly
1970-03-01,Mexico v Sweden,W,0-1,International Friendly
1974-06-19,Netherlands v Sweden,D,0-0,FIFA World Cup
1974-09-04,Sweden v Netherlands,L,1-5,International Friendly
1974-10-30,Sweden v Northern Ireland,L,0-2,UEFA European Championship
1975-09-03,Northern Ireland v Sweden,W,1-2,UEFA European Championship
1949-06-02,Sweden v Republic of Ireland,W,3-1,FIFA World Cup
1970-10-14,Republic of Ireland v Sweden,D,1-1,UEFA European Championship
1970-10-28,Sweden v Republic of Ireland,W,1-0,UEFA European Championship
1997-02-09,Sweden v Romania,W,2-0,Kings Cup
2006-01-18,Saudi Arabia v Sweden,D,1-1,International Friendly
1975-04-16,Sweden v Scotland,D,1-1,International Friendly
1977-04-27,Scotland v Sweden,L,3-1,International Friendly
1999-11-27,South Africa v Sweden,L,1-0,International Friendly
1978-06-11,Spain v Sweden,L,1-0,FIFA World Cup
1920-06-06,Sweden v Switzerland,L,0-1,International Friendly
1932-11-06,Switzerland v Sweden,L,2-1,International Friendly
1936-06-21,Sweden v Switzerland,W,5-2,International Friendly
1942-11-15,Switzerland v Sweden,L,3-1,International Friendly
1943-06-14,Sweden v Switzerland,W,1-0,International Friendly
1945-11-25,Switzerland v Sweden,L,3-0,International Friendly
1946-07-07,Sweden v Switzerland,W,7-2,International Friendly
1972-04-26,Switzerland v Sweden,D,1-1,International Friendly
1974-06-09,Sweden v Switzerland,D,0-0,International Friendly
1976-10-10,Switzerland v Sweden,W,1-2,FIFA World Cup
1977-06-08,Sweden v Switzerland,W,2-1,FIFA World Cup
1987-06-17,Switzerland v Sweden,D,1-1,UEFA European Championship
1993-08-11,Sweden v Switzerland,L,1-2,International Friendly
1976-02-28,Tunisia v Sweden,D,1-1,International Friendly
1970-06-10,Uruguay v Sweden,W,0-1,FIFA World Cup
1974-06-23,Sweden v Uruguay,W,3-0,FIFA World Cup
1916-08-20,Sweden v USA,L,2-3,International Friendly
1984-02-23,Sweden v USA,W,4-0,International Friendly
1998-01-24,USA v Sweden,L,1-0,International Friendly
2008-01-18,USA v Sweden,L,2-0,International Friendly
2009-01-24,USA v Sweden,L,3-2,International Friendly
1954-09-08,Russia v Sweden,L,7-0,International Friendly
1955-06-26,Sweden v Russia,L,0-6,International Friendly
1963-05-22,Russia v Sweden,W,0-1,International Friendly
1964-05-13,Sweden v Russia,D,1-1,UEFA European Championship
1968-08-01,Sweden v Russia,D,2-2,International Friendly
1972-08-06,Sweden v Russia,D,4-4,International Friendly
1973-08-05,Russia v Sweden,D,0-0,International Friendly
1979-04-19,Russia v Sweden,L,2-0,International Friendly
1986-08-20,Sweden v Russia,D,0-0,International Friendly
1991-06-13,Sweden v Russia,L,2-3,Scania 100 Tournament
1950-09-03,Sweden v Yugoslavia,L,1-2,International Friendly
1963-06-19,Yugoslavia v Sweden,D,0-0,UEFA European Championship
1966-06-27,Sweden v Yugoslavia,D,1-1,International Friendly
1969-02-26,Yugoslavia v Sweden,L,2-1,International Friendly
1974-07-03,Sweden v Yugoslavia,W,2-1,FIFA World Cup
1975-06-04,Sweden v Yugoslavia,L,1-2,UEFA European Championship
1975-10-15,Yugoslavia v Sweden,L,3-0,UEFA European Championship
1931-06-16,Austria v Switzerland,L,2-0,International Friendly
1976-09-22,Austria v Switzerland,L,3-1,International Friendly
1978-04-04,Switzerland v Austria,L,0-1,International Friendly
1974-05-01,Switzerland v Belgium,L,0-1,International Friendly
1976-08-18,Switzerland v Bulgaria,D,2-2,International Friendly
1975-09-24,Czech Republic v Switzerland,D,1-1,International Friendly
1977-05-24,Switzerland v Czech Republic,W,1-0,International Friendly
1972-10-04,Denmark v Switzerland,D,1-1,International Friendly
1909-05-20,Switzerland v England,L,0-9,A v Amateur
1910-04-09,England v Switzerland,L,6-1,Amateur v A
1911-05-25,Switzerland v England,L,1-4,A v Amateur
1971-10-13,Switzerland v England,L,2-3,UEFA European Championship
1971-11-10,England v Switzerland,D,1-1,UEFA European Championship
1975-09-03,Switzerland v England,L,1-2,International Friendly
1977-09-07,England v Switzerland,D,0-0,International Friendly
1976-05-19,Finland v Switzerland,L,1-0,International Friendly
1977-10-05,Switzerland v Finland,W,2-0,International Friendly
1970-05-03,Switzerland v France,W,2-1,International Friendly
1977-04-23,Switzerland v France,L,0-4,International Friendly
1972-11-15,Germany v Switzerland,L,5-1,International Friendly
1974-09-04,Switzerland v Germany,L,1-2,International Friendly
1977-11-16,Germany v Switzerland,L,4-1,International Friendly
1970-12-15,Greece v Switzerland,W,0-1,UEFA European Championship
1971-05-12,Switzerland v Greece,W,1-0,UEFA European Championship
1993-01-26,Hong Kong v Switzerland,W,2-3,Carlsberg Challenge
1997-02-07,Hong Kong v Switzerland,W,1-4,Carlsberg Cup
1970-11-15,Switzerland v Hungary,L,0-1,International Friendly
1974-12-04,Hungary v Switzerland,L,1-0,International Friendly
1976-04-30,Switzerland v Hungary,L,0-1,International Friendly
1970-10-17,Switzerland v Italy,D,1-1,International Friendly
1972-10-21,Switzerland v Italy,D,0-0,FIFA World Cup
1973-10-20,Italy v Switzerland,L,2-0,FIFA World Cup
1983-12-02,Ivory Coast v Switzerland,L,1-0,International Friendly
1974-10-09,Netherlands v Switzerland,L,1-0,International Friendly
1964-10-14,Northern Ireland v Switzerland,L,1-0,FIFA World Cup
